Province,District,Long,Lat,Ele,River ,Flat,"Main OCC
Farming
0:No
1:Yes","Second OCC
Farming
0:No
1:Yes","Migration
BackG
0:No
1:Yes","Literate
0:no
1:yes","Gender 
0:F
1:M",Age,"Work on
farm","Work off
farm","Not
 employed ","Female
 work
on farm","Importance
of farming
0:not atll Impornt
1:importnt
2:Very impornt","Crop Net
Income",t4,r4
1,4,67.188517,34.399903,3208.609619,1,0,1,1,0,0,1,30,1,0,6,2,2,25300,1.22557075,37.372281
1,4,67.127124,34.349923,3173.264404,1,0,1,0,0,1,1,42,1,7,0,2,2,79600,1.58986325,37.61469175
1,4,67.029534,34.404116,3195.539551,1,0,1,1,0,0,1,50,2,2,5,1,2,57380,1.37418725,43.2632475
1,4,67.033225,34.475412,3268.948242,0,0,1,1,0,1,1,42,1,0,7,1,2,39740,1.01345175,45.953078
1,4,67.127248,34.350075,3173.264404,1,0,1,1,0,1,1,25,2,0,8,4,2,35050,1.58986325,37.61469175
1,4,67.14343,34.374694,3190.596436,1,1,1,1,1,0,1,60,1,5,0,3,2,35550,1.38553275,37.45453525
1,4,67.176325,34.382105,3199.28418,1,0,1,1,1,0,1,50,2,0,6,1,2,62100,1.3674365,37.00553425
1,4,67.181109,34.374109,3199.533203,1,0,1,0,1,0,1,26,1,3,0,1,2,58700,1.359935,36.78506375
1,4,67.178507,34.375937,3199.28418,1,1,1,1,0,1,1,60,2,5,0,1,1,72600,1.3674365,37.00553425
1,4,67.183732,34.393522,3204.081787,1,1,1,1,0,1,1,29,2,6,0,2,2,70690,1.287605,37.10487475
1,4,67.01777,34.383763,3185.346436,0,0,1,0,0,1,1,52,3,0,6,1,2,16000,1.46165025,43.5940235
1,4,67.159426,34.381414,3198.928955,1,1,1,1,1,1,1,50,1,6,0,1,1,70210,1.3766615,37.2493495
1,4,67.159137,34.381437,3198.928955,1,1,1,1,1,1,1,51,1,0,4,1,2,32150,1.3766615,37.2493495
1,4,67.033808,34.476488,3268.948242,0,1,1,1,0,0,1,36,1,0,9,0,0,29940,1.01345175,45.953078
1,4,67.022003,34.397834,3194.324219,1,1,1,1,0,0,1,48,2,4,1,0,0,42540,1.38408125,44.0605935
1,4,67.18378,34.395798,3208.609619,1,1,1,1,1,1,1,67,2,0,6,2,2,25300,1.22557075,37.372281
1,4,67.178583,34.376093,3199.28418,1,1,1,1,1,1,1,56,2,0,6,0,1,30950,1.3674365,37.00553425
1,4,67.029296,34.36451,3167.105469,1,1,1,0,1,1,1,65,3,2,5,1,2,91150,1.63071925,42.595956
